D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_02_798.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_02_798.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_02_798.jpg,0,0,0,6.592913E-06
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_02_872.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_02_872.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_02_872.jpg,0,0,0,1.014518E-05
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_02_946.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_02_946.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_02_946.jpg,0,0,0,3.929065E-06
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_018.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_018.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_018.jpg,0,0,0,5.524363E-06
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_089.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_089.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_089.jpg,0,0,0,8.715563E-06
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_162.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_162.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_162.jpg,-0.01879699,0,0,1.144364E-05
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_229.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_229.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_229.jpg,-0.04887218,0,0,8.451715E-06
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_302.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_302.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_302.jpg,-0.06390978,0,0,3.629E-06
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_374.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_374.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_374.jpg,-0.07142857,0,0,1.257362E-05
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_446.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_446.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_446.jpg,-0.07894737,0,0,1.875523E-05
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_518.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_518.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_518.jpg,-0.07894737,0.1723848,0,0.09288752
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_592.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_592.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_592.jpg,-0.07894737,0.3501762,0,0.2562537
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_659.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_659.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_659.jpg,-0.08270676,0.5939931,0,0.7303074
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_725.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_725.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_725.jpg,-0.08270676,0.7725633,0,1.247307
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_793.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_793.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_793.jpg,-0.08270676,0.95166,0,1.904745
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_861.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_861.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_861.jpg,-0.08270676,1,0,2.840196
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_929.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_929.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_929.jpg,-0.09022556,1,0,3.54708
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_03_997.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_03_997.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_03_997.jpg,-0.1165414,1,0,4.252328
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_04_063.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_04_063.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_04_063.jpg,-0.1278196,1,0,5.182895
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_04_130.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_04_130.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_04_130.jpg,-0.131579,1,0,5.876385
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_04_199.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_04_199.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_04_199.jpg,-0.1729323,1,0,6.793389
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_04_274.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_04_274.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_04_274.jpg,-0.2293233,0.9518399,0,7.427246
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_04_347.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_04_347.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_04_347.jpg,-0.2669173,1,0,8.323677
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_47_04_419.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_47_04_419.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_47_04_419.jpg,-0.2669173,1,0,9.220243
